routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
107,Centro / V. Montanhesa,04:50,1,0,0,0,2024-11-01,-43.3441925,-21.69478226,"Rua Verissimo Lopes Guimarães, 249 - Ponto Final da Vila Montanhesa"
107,Centro / V. Montanhesa,04:50,2,2,0,2,2024-11-01,-43.34401298,-21.6938839,"Rua Verissimo Lopes Guimarães, 141"
107,Centro / V. Montanhesa,04:50,3,2,0,4,2024-11-01,-43.34474791,-21.6919632,Rua Verissimo Lopes Guimarães
107,Centro / V. Montanhesa,04:50,4,1,0,5,2024-11-01,-43.34603882,-21.69165927,"Rua Verissimo Lopes Guimarães, 37"
107,Centro / V. Montanhesa,04:50,5,3,0,8,2024-11-01,-43.3464365,-21.69261378,"Rua Benjamin Elídio Faria, 159"
107,Centro / V. Montanhesa,04:50,6,1,2,7,2024-11-01,-43.34600747,-21.69429796,"Rua Benjamin Elídio Faria, 425"
107,Centro / V. Montanhesa,04:50,7,0,6,1,2024-11-01,-43.34625471,-21.69490051,"Rua Amazonas, 835"
107,Centro / V. Montanhesa,04:50,8,1,1,1,2024-11-01,-43.34710872,-21.69439359,"Rua Amazonas, 665"
107,Centro / V. Montanhesa,04:50,9,0,0,1,2024-11-01,-43.34738791,-21.69322828,"Rua Amazonas, 575"
107,Centro / V. Montanhesa,04:50,10,1,0,2,2024-11-01,-43.34774017,-21.692276,"Rua Amazonas, 491"
107,Centro / V. Montanhesa,04:50,11,1,0,3,2024-11-01,-43.34892273,-21.6918869,"Rua Amazonas, 355"
107,Centro / V. Montanhesa,04:50,12,0,0,3,2024-11-01,-43.34980238,-21.69210625,"Rua Amazonas, 219"
107,Centro / V. Montanhesa,04:50,13,0,0,3,2024-11-01,-43.35048878,-21.69285449,"Rua Amazonas, 167"
107,Centro / V. Montanhesa,04:50,14,0,0,3,2024-11-01,-43.35124207,-21.6933488,"Rua Amazonas, 39"
107,Centro / V. Montanhesa,04:50,15,2,0,5,2024-11-01,-43.3507309,-21.69217873,"Rua Franklin Soares Ferreira, 85"
107,Centro / V. Montanhesa,04:50,16,0,0,5,2024-11-01,-43.3489316,-21.69124266,"Rua Rio de Janeiro, 140"
107,Centro / V. Montanhesa,04:50,17,0,0,5,2024-11-01,-43.3491388,-21.69066028,"Rua Diomar Monteiro, 85"
107,Centro / V. Montanhesa,04:50,18,0,0,5,2024-11-01,-43.34967123,-21.69037781,"Avenida Juiz de Fora, 1269"
107,Centro / V. Montanhesa,04:50,19,1,0,6,2024-11-01,-43.3510738,-21.69178009,"Avenida Juiz de Fora, 1065"
107,Centro / V. Montanhesa,04:50,20,0,0,6,2024-11-01,-43.35321504,-21.69425832,"Avenida Juiz de Fora, 701"
107,Centro / V. Montanhesa,04:50,21,1,0,7,2024-11-01,-43.35519683,-21.69557935,"Avenida Juiz de Fora, 407"
107,Centro / V. Montanhesa,04:50,22,0,0,7,2024-11-01,-43.35687476,-21.6977747,"Avenida Juiz de Fora, 165"
107,Centro / V. Montanhesa,04:50,23,0,0,7,2024-11-01,-43.35749179,-21.6987544,"Avenida Juiz de Fora, 25"
107,Centro / V. Montanhesa,04:50,24,0,0,7,2024-11-01,-43.35871557,-21.70212107,Avenida Juiz de Fora
107,Centro / V. Montanhesa,04:50,25,0,0,7,2024-11-01,-43.36021428,-21.70724753,"Avenida Juiz de Fora, 587"
107,Centro / V. Montanhesa,04:50,26,2,0,9,2024-11-01,-43.35962935,-21.70898318,"Avenida Juiz de Fora, 495"
107,Centro / V. Montanhesa,04:50,27,0,0,9,2024-11-01,-43.35701752,-21.70967674,"Avenida Juiz de Fora, 967"
107,Centro / V. Montanhesa,04:50,28,0,0,9,2024-11-01,-43.35544586,-21.71077538,"Avenida Juiz de Fora, 839"
107,Centro / V. Montanhesa,04:50,29,1,0,10,2024-11-01,-43.35326385,-21.71150208,"Avenida Juiz de Fora, 629"
